iter	Passed	Remaining
0	2	742
1	3	509
2	8	814
3	9	686
4	11	624
5	19	913
6	22	885
7	25	880
8	32	991
9	34	946
10	35	880
11	37	846
12	43	901
13	44	851
14	46	831
15	47	794
16	48	759
17	49	728
18	50	700
19	51	674
20	56	705
21	60	711
22	61	696
23	64	691
24	68	703
25	75	741
26	77	732
27	79	725
28	81	708
29	83	700
30	85	688
31	88	687
32	89	672
33	90	657
34	92	652
35	93	638
36	97	646
37	98	634
38	100	623
39	100	610
40	103	608
41	105	604
42	108	600
43	110	597
44	112	592
45	113	582
46	115	578
47	117	573
48	119	566
49	120	557
50	121	551
51	122	543
52	123	534
53	125	530
54	129	532
55	130	525
56	131	518
57	133	515
58	135	510
59	138	512
60	139	505
61	144	514
62	145	506
63	152	519
64	154	516
65	158	520
66	161	518
67	166	524
68	167	518
69	184	557
70	185	550
71	187	546
72	193	554
73	196	551
74	199	551
75	201	547
76	202	540
77	205	536
78	207	532
79	208	525
80	209	519
81	210	513
82	214	514
83	217	511
84	218	505
85	223	510
86	227	509
87	228	503
88	230	499
89	232	496
90	236	497
91	245	507
92	246	501
93	248	496
94	249	490
95	252	488
96	253	483
97	254	477
98	255	472
99	256	466
100	257	461
101	259	458
102	260	453
103	262	448
104	263	443
105	264	438
106	264	433
107	265	428
108	266	423
109	267	418
110	268	414
111	269	409
112	271	405
113	273	402
114	275	399
115	276	396
116	278	392
117	279	388
118	280	383
119	281	379
120	285	379
121	286	376
122	288	372
123	289	368
124	293	368
125	295	365
126	296	361
127	297	357
128	298	353
129	300	350
130	301	347
131	303	344
132	305	341
133	306	338
134	307	334
135	308	331
136	309	327
137	310	323
138	311	320
139	312	316
140	313	313
141	314	310
142	315	306
143	316	303
144	317	300
145	319	297
146	320	294
147	321	291
148	322	288
149	323	284
150	324	281
151	325	278
152	326	275
153	327	272
154	328	269
155	329	266
156	330	263
157	331	260
158	332	257
159	333	254
160	334	251
161	335	248
162	335	245
163	337	242
164	338	239
165	339	237
166	341	234
167	341	232
168	342	229
169	345	227
170	346	225
171	347	222
172	348	219
173	349	217
174	350	214
175	351	211
176	353	209
177	355	207
178	362	208
179	363	206
180	365	203
181	366	201
182	367	198
183	368	196
184	369	193
185	369	190
186	370	188
187	372	186
188	373	183
189	373	181
190	374	178
191	376	176
192	377	173
193	378	171
194	380	169
195	381	167
196	382	165
197	384	163
198	386	161
199	387	158
200	388	156
201	391	154
202	392	152
203	392	150
204	393	147
205	395	145
206	395	143
207	397	141
208	398	139
209	399	136
210	400	134
211	401	132
212	402	130
213	403	128
214	404	126
215	405	123
216	406	121
217	407	119
218	409	117
219	411	116
220	413	114
221	414	112
222	415	110
223	416	107
224	417	105
225	418	103
226	422	102
227	423	100
228	424	98
229	426	96
230	427	94
231	428	92
232	429	90
233	431	88
234	432	86
235	434	84
236	436	82
237	436	80
238	438	78
239	441	77
240	442	75
241	443	73
242	445	71
243	446	69
244	447	67
245	448	65
246	450	63
247	451	61
248	452	59
249	454	58
250	455	56
251	456	54
252	457	52
253	461	50
254	463	49
255	464	47
256	465	45
257	466	43
258	467	41
259	468	39
260	471	37
261	475	36
262	478	34
263	480	32
264	481	30
265	482	29
266	483	27
267	485	25
268	486	23
269	487	21
270	488	19
271	489	18
272	490	16
273	491	14
274	492	12
275	493	10
276	495	8
277	496	7
278	498	5
279	499	3
280	500	1
281	502	0
